Feature,Spearman_rho,p_value
AAC_P,-0.44566754678339093,0.12693783617174836
CTriad_g7.g1.g4,0.4455210556068154,0.12707780280586917
CTDT_hydrophobicity_CASG920101.Tr1221,0.4450549450549451,0.12752383613843676
CTDC_secondarystruct.G1,0.4380181909972074,0.13438425599659928
CTriad_g3.g5.g4,-0.43206897530307414,0.14037118251617883
CTDC_polarizability.G1,-0.43191237558637263,0.1405311018465305
CTriad_g1.g2.g2,0.4293777076069469,0.14313616877350985
CTDC_hydrophobicity_ARGP820101.G3,-0.429161341346969,0.14336000092471568
CTriad_g2.g6.g4,0.4266075288481924,0.1460192865695122
CTriad_g5.g1.g5,-0.42206158916965136,0.15083238981147232
CTriad_g1.g2.g1,-0.4216564888637637,0.15126624860196908
CTriad_g2.g2.g2,0.42106717133068344,0.15189885227304809
CTriad_g4.g2.g4,-0.42028455851404845,0.1527416073276868
CTriad_g4.g3.g4,0.4193139346887673,0.1537910388689062
CTriad_g1.g5.g6,0.4193139346887673,0.1537910388689062
CTriad_g5.g5.g6,0.40184252074340204,0.17348521112407828
AAC_G,-0.40115311533225206,0.17429377809441524
CTDC_polarity.G2,-0.39889996471352884,0.1769531402161251
CTriad_g2.g2.g6,0.39670376368756083,0.17957002452545337
CTDC_polarizability.G3,0.39614893047412525,0.18023500576649443
CTDC_normwaalsvolume.G3,0.39614893047412525,0.18023500576649443
CTDT_normwaalsvolume.Tr1221,-0.39560439560439564,0.1808891631049407
CTriad_g6.g2.g1,-0.39391593038588446,0.18292711298696526
CTriad_g1.g3.g4,0.3859689051545335,0.1927139329162479
CTriad_g6.g3.g4,-0.3857583749052298,0.19297758301955484
CTriad_g2.g3.g7,0.3857583749052298,0.19297758301955484
CTriad_g3.g7.g1,0.3857583749052298,0.19297758301955484
CTDT_hydrophobicity_ARGP820101.Tr1221,0.38461538461538464,0.19441291997748622
CTriad_g3.g6.g4,0.38437110679803677,0.1947205438691501
CTriad_g2.g1.g5,-0.38398376097633174,0.1952089617528798
CTriad_g3.g4.g3,0.37621671485862573,0.20516489476676453
CTriad_g1.g1.g4,-0.37531109355489806,0.20634587802303603
CTriad_g7.g2.g4,-0.37514416888653,0.20656401730480412
CTDC_hydrophobicity_ARGP820101.G2,0.374140656558896,0.2078784368558637
CTDC_hydrophobicity_ZIMJ680101.G3,-0.3686385880800887,0.2151771625119695
CTriad_g6.g2.g3,-0.36689969285267143,0.21751627559778206
CTriad_g5.g3.g4,0.3653990743235176,0.21954738287777525
CTriad_g4.g6.g2,0.3627592348037248,0.22314859751988333
CTDC_solventaccess.G3,-0.3626373626373627,0.22331572029248162
CTDT_hydrophobicity_ZIMJ680101.Tr2332,-0.3603854853618778,0.22641748750441454
CTDC_hydrophobicity_FASG890101.G2,-0.3548834168830705,0.23410611092438008
CTDC_hydrophobicity_CASG920101.G1,-0.35213238264366686,0.2380089766666944
CTriad_g5.g3.g6,-0.3495310368212778,0.2417353902883698
CTDC_hydrophobicity_FASG890101.G3,0.34615384615384615,0.24662526251007164
CTriad_g1.g4.g2,0.3402570993088121,0.2553041788781341
CTriad_g5.g4.g4,-0.33442646051595765,0.2640618585301318
CTriad_g2.g2.g5,0.33242145105053955,0.26711380330998197
CTriad_g6.g2.g2,0.3310373168595532,0.2692327266949956
CTDT_polarizability.Tr1331,0.32967032967032966,0.27133505450523554
CTriad_g5.g1.g3,0.3263476921631828,0.27648499615954675
CTriad_g1.g4.g4,-0.32479917717646,0.2789044533933574
AAC_L,-0.32276138393806436,0.28210708026537473
CTDC_hydrophobicity_CASG920101.G2,0.32044687966370133,0.28577034206571195
CTriad_g3.g4.g5,0.31953704984638204,0.28721785905068753
CTriad_g4.g3.g5,0.31448545101657555,0.29533159821972454
CTDT_hydrophobicity_PRAM900101.Tr2332,-0.31361790329201583,0.29673809964823017
AAC_I,-0.3130301997392581,0.29769308045307113
CTriad_g4.g2.g1,0.31109383547682545,0.30085195853900326
CTriad_g3.g1.g3,-0.3106942549522469,0.3015061803440504
CTriad_g3.g6.g1,0.3093385166973879,0.3037319236590933
CTriad_g1.g2.g5,-0.30896816240224956,0.3043415612387713
CTriad_g2.g3.g6,0.3086066999241838,0.3049372317414356
CTriad_g6.g3.g6,0.3086066999241838,0.3049372317414356
CTriad_g6.g3.g1,0.3086066999241838,0.3049372317414356
CTriad_g3.g6.g3,0.3086066999241838,0.3049372317414356
CTriad_g2.g7.g5,-0.3086066999241838,0.3049372317414356
CTriad_g7.g5.g2,-0.3086066999241838,0.3049372317414356
CTriad_g2.g3.g2,0.30514614325667105,0.310673484730146
CTDT_hydrophobicity_ZIMJ680101.Tr1221,0.30303145289114974,0.3142085754056801
CTriad_g5.g1.g6,-0.29850096067196663,0.3218578677207369
CTriad_g5.g4.g3,0.29701403707121016,0.32439084343346847
CTriad_g5.g6.g3,0.29701403707121016,0.32439084343346847
CTriad_g1.g7.g2,-0.29347634383240145,0.3304617581948903
CTDC_hydrophobicity_ZIMJ680101.G2,0.2916096293767866,0.3336903262748958
CTDT_hydrophobicity_ARGP820101.Tr1331,-0.2912087912087912,0.3343858561975295
CTriad_g6.g1.g5,0.29086876966922215,0.3349764840392536
CTriad_g2.g4.g3,-0.2893989232339646,0.3375362598960987
CTriad_g2.g2.g3,-0.28572775232215564,0.3439764715449334
CTDT_hydrophobicity_ZIMJ680101.Tr1331,-0.2857142857142857,0.34400021825867
CTDT_polarizability.Tr1221,-0.2857142857142857,0.34400021825867
CTriad_g2.g2.g7,-0.2849014411490949,0.34543522769892554
CTriad_g3.g2.g7,0.2795426231258449,0.35497716719738903
AAC_E,0.2789728604410903,0.355999976568553
AAC_T,-0.27823797038187387,0.35732155898068607
CTriad_g6.g1.g4,0.27579276679092324,0.3617378478746518
CTriad_g6.g3.g2,0.27066598098038336,0.3710917057919636
CTriad_g1.g1.g5,0.26878654388711054,0.3745525981022687
CTriad_g6.g5.g5,-0.26819409376060455,0.37564709331325696
CTriad_g6.g5.g2,-0.26667272671416303,0.37846540176124943
CTDT_polarity.Tr2332,-0.26373626373626374,0.3839365166506743
CTriad_g6.g1.g6,-0.2562474045320245,0.3980752163919994
CTDC_polarity.G3,0.253444487872598,0.40343507314225435
CTDT_charge.Tr1331,-0.253444487872598,0.40343507314225435
CTriad_g4.g5.g4,0.252657202204116,0.4049471735528841
CTriad_g3.g3.g6,0.25169111285381685,0.40680664782096565
CTriad_g4.g4.g1,0.2514877858099157,0.40719855458411447
CTriad_g6.g5.g6,0.2510218875157862,0.40809728561232417
CTriad_g4.g1.g2,-0.25072069708265754,0.40867882816586676
CTriad_g1.g1.g6,0.25036732030790537,0.409361670676441
CTriad_g3.g3.g2,-0.24862257904942345,0.41274159398084564
CTriad_g1.g6.g6,0.24828941933129223,0.413388597217033
